id-NL1039307C2    abstract-
id-KR20130036091A    abstract-본 발명은 외기 도입 냉방장치에 관한 것으로, 하우징(110); 외기흡입구(111); 외기배출구(113); 상부토출구(112)의 하부에 형성되는 실내공기흡입구(114); 상부토출구(112); 외기흡입구(111)로 흡입된 외기와 실내공기흡입구(114)로 흡입된 실내공기를 상호 혼합되지 않은 상태로 열교환 하여 흡입된 실내공기를 냉각시켜서 상부토출구(112)로 보내는  판형 열교환기(150); 외기배출덕트(113a)에 설치되어서 외기를 강제로 흡입시켜서 배출하는 외기배출팬(122); 상부 팬(120); 실내온도센서(141); 외기온도센서(142); 실내온도가 제1 설정온도보다 높고 외기온도가 제2 설정온도보다 낮은 경우에는 상부 팬(120)을 구동하기 위한 신호와 외기배출팬(122)을 구동하기 위한 신호를 출력하며, 외기온도가 제2 설정온도 이상인 경우에는 상부 팬(120)의 구동을 정지하기 위한 신호와 외기배출팬(122)의 구동을 정지하기 위한 신호를 출력하는 컨트롤패널(140); 컨트롤패널(140)로부터 출력되는 상부 팬 구동제어신호와 상부 팬 정지제어신호와 외기배출팬 구동제어신호와 외기배출팬 정지제어신호를 기초로 전원공급부로부터 상부 팬(120) 및 외기배출팬(122)으로의 전원공급을 온오프 제어하는 스위칭 모듈(145)구성되는 것을 특징으로 하고, 이에 의하면, 냉방에너지를 절약할 수 있는 이점이 있다.
id-KR20130112584A    abstract-본 발명은 발전장치가 부착된 에너지 절약형 환기장치에 관한 것으로, 건물의 측벽에 설치되어 건물의 내부와 연통되는 수평덕트(10)와; 수평덕트(10)의 선단과 연결되어 수직으로 설치되는 수직덕트(20)와; 수평덕트(10) 내부에 설치되는 팬유닛(30)과; 팬유닛(30)과 연결되어 팬유닛(30)의 회전에 의해 전기 에너지를 생산하는 발전기(40) 및; 수직덕트(20)의 외주면에 설치되며, 내부에 공기가 충전되어 수직덕트(20)를 가열하는 투명재질의 히팅자켓(50)으로 구성된 것을 기술적 특징으로 한다. 이와 같은 본 발명은 공기의 대류현상을 이용하여 건물 내부의 공기를 환기시키므로 에너지가 절약되고, 히팅자켓에 의해 덕트 내의 공기가 가열되어 외부로 빠르게 배출되므로 환기장치의 환기 성능이 향상된다.
id-DE202012101297U1    abstract-Wärmerückgewinnungseinrichtung für eine raumlufttechnische Anlage, wobei die Wärmerückgewinnungseinrichtung mindestens eine Wärmeübertragungseinrichtung sowie mindestens einen Zuluftkanal (12) und einen Abluftkanal (13) umfasst, wobei die mindestens eine Wärmeübertragungseinrichtung zur Übertragung von Wärme und/oder Kälte aus dem Abluftkanal (13) an den Zuluftkanal (12) zwischen Abluftkanal (13) und Zuluftkanal (12) angeordnet ist, dadurch gekennzeichnet, dass die Wärmeübertragungseinrichtung mindestens einen ersten Wärmetauscherkreislauf (10) für ein erstes Wärmetauscherfluid und mindestens einen zweiten Wärmetauscherkreislauf (11) für ein zweites Wärmetauscherfluid umfasst, wobei der erste Wärmetauscherkreislauf (10) mit dem Zuluftkanal (12) und dem Abluftkanal (13) verbunden ist und der zweite Wärmetauscherkreislauf (11) mindestens mit dem Zuluftkanal (12) verbunden ist.
id-FI20120142A    abstract-
id-KR101303738B1    abstract-용기에 담긴 음료의 제조장치가 개시된다. 본 발명의 용기에 담긴 음료의 제조장치는, 음료가 저장되는 음료 저장탱크와, 음료를 용기에 주입하는 음료 주입유닛과, 음료의 주입 시 용기에 결로가 발생되는 것을 방지하도록 음료가 주입되는 장소의 실내공기를 냉각하며, 실내공기의 냉각과정에서 발생되는 폐열을 음료에 공급하여 음료를 가열하는 폐열 회수형 냉동유닛을 포함한다.
id-EP2650618B1    abstract-
id-KR20130115680A    abstract-본 발명은 배열회수 기능을 갖는 환기장치, 농수산물 건조장치, 열처리장치등에 사용되고 있는 고효율의 열교환기에 있어서 열교환기 내부를 통과하는 외기-급기의 저온측의 온도가 -2°C이하가 되면, 환기-배기의 고온측의 열을 외기-급기측에 전달한후 환기-배기의 온도가 저온측 온도에 근접한 0°C이하로 낮아지면서, 환기-배기상의 열교환기 내부 유로상에서 생성된 응축수가 결빙이 되어 열교환기내에 있어서의 환기-배기상의 공기 유동이 곤란하게 되는 문제점을 해결하여 혹한기에도 배열회수 기능이 원활히 작동되도록 하는 것이다.    본 발명의 결빙방지가 되는 공기 대 공기 열교환기는 상기와 같은 기술적 과제를 해결하기 위하여, 고온측의 공기가 열교환기를 통과하면서 생성되는 응축수의 결빙을 방지하기 위하여 마그네트론으로 마이크로파를 발생시켜 열교환기 내부에서 생성된 응축수와 열교환기 외부로 배출되는 응축수를 가열시키는 것을 특징으로 한다.    또한 열교환기의 내부에 적층된 복수개의 열교환막 자체와 그리고 생성된 응축수를 근적외선 발생 전기히터로 가열시키는 것을 특징으로 한다.    이때, 상기 마그네트론과 전기히터는 열교환기에 유입되는 저온측 공기온도가 -2°C이하 또는 열교환기로 부터 유출되는 고온측 공기온도가 0°C이하의 조건에서 간헐적 또는 연속적으로 작동하는 것을 특징으로 한다.
id-WO2013171677A3    abstract-Die Erfindung betrifft ein Rahmenlüftungsgerät und ein Arbeits- oder Montageverfahren, mit dem eine Reihe von Schwierigkeiten behoben werden. Das Rahmenlüftungsgerät (RLG) besitzt ein Gehäuse (10a), das eine größere Erstreckung in Längsrichtung (L) als übrige Erstreckungen in Quer- und Tiefenrichtung (Q, T) aufweist. Die Flachseite (12) des Gehäuses ist in drei funktionelle Streifenabschnitte aufgeteilt, wobei ein erster Streifenabschnitt (12a) als Montagestreifen für eine seitliche Stirnfläche (2a) des Festrahmens (2) vorgesehen und ausgebildet ist. Beidseits davon ist je ein weiterer Funktionsstreifen (12b,12c) auf der Flachseite (12) des Gehäuses vorgesehen, wobei in einem davon als Außenstreifen (12b) zwei beabstandete Strömungsöffnungen (7, 9) vorgesehen sind. Im verbliebenen Funktionsstreifen (12c) ist als Innenstreifen eine abnehmbare Platte (13) als Abdeckung eines Revisionszugangs vorgesehen. Im Gehäuse (10a) sind zwei Strömungskanäle (a, b) ausgebildet, welche beide durch einen Wärmetauscher (20) verlaufen und jeder Strömungskanal einen Lüfter (30a, 30b) aufweist.
id-US20130306282A1    abstract-This invention provides a heat exchanger ( 2 ) which has an elongate heat exchange element ( 4 ). The heat exchange element ( 4 ) has a substantially cylindrical structure with a first end and a second end and the length of the element ( 4 ) is greater than the diameter. A plurality of elongate flow paths extend between the first end and the second end. A first inlet ( 8 ) and a second outlet ( 14 ) are disposed in the first end and a first outlet ( 10 ) and a second inlet ( 12 ) are disposed in the second end. The first inlet ( 8 ) and first outlet ( 10 ) define a first flow path and the second inlet ( 12 ) and second outlet ( 14 ) define a second flow path. The heat exchanger is provided with a motor ( 16, 18 ) for rotating the cylindrical structure and the rotation of the cylindrical structure ( 4 ) moves the elongate flow paths from the first flow path to the second flow path.
id-DE202012010671U1    abstract-Lufttechnisches Gerät (1) zur Be- und Entlüftung von mindestens einem Raum (2) eines Gebäudes oder dergleichen, mit zwei Luftkanälen (8, 9), die jeweils eingangsseitig sowie ausgangsseitig je eine Kanalöffnung (12, 13, 14, 15) aufweisen und die jeweils zwischen den zugehörigen Kanalöffnungen (12, 13, 14, 15) durch nur eine nur eine einzige Luftförderrichtung aufweisende Luftfördereinrichtung (16) strömungstechnisch miteinander verbunden sind, und mit einer Verschlusseinrichtung (23), die in einer ersten Betriebsart zur Ausbildung eines über die Luftfördereinrichtung (16) führenden ersten Luftwegs die eine Kanalöffnung (12, 13, 14, 15) des einen, ersten Luftkanals (8, 9) mit der einen Kanalöffnung (12, 13, 14, 15) des anderen, zweiten Luftkanals (9, 8) strömungstechnisch verbindet, und die in einer zweiten Betriebsart zur Ausbildung eines über die Luftfördereinrichtung (16) führenden zweiten Luftwegs die andere Kanalöffnung (12, 13, 14, 15) des ersten Luftkanals (8, 9) mit der anderen Kanalöffnung (12, 13, 14, 15) des zweiten Luftkanals (9, 8)...
id-WO2013171676A3    abstract-Die hier vorgestellte Erfindung soll für das Fenster 2 verdeckt arbeiten und nicht gesondert hervorstehen. Besonders in dieser Einbaulage ist die Notwendigkeit gegeben, die elektrisch betriebenen Komponenten und auch den Wärmetauscher innerhalb des Rahmen-Lüftungsgeräts 10, 10' austauschen zu können, und dies im eingebauten Zustand des Lüftungsgeräts. Das Lüftungsgeräts ist aber dennoch klein zu halten, also übermäßige Räume sind zu vermeiden, die zur Wartung zusätzliche Möglichkeiten geben könnten, damit der Raum gering wird, der aus der Laibung 75 auszunehmen ist, um das Lüftungsgerät verdeckt und eingesetzt neben dem Blendrahmen 2 in der Laibung platzieren zu können. Die Revisionsfähigkeit (Wartungsfähigkeit) ist also trotz eines verdeckten Einbaus gefordert. Das Leistungsergebnis, erreicht wie folgt als Lüftungsgerät 10, 10' lässt dazu ein Andocken an einen Rahmen 2 eines Fensters oder einer Tür zu, ohne in den Testrahmen einzugreifen. Das Lüftungsgerät 10 hat ein Gehäuse 10a und darin zwei Strömungskanäle a, b, welche beide durch einen Wärmetauscher 20 verlaufen. Jeder Strömungskanal hat im Zuge seiner Längserstreckung einen Lüfter 30a, 30b. Eine Flachseite 12 des Gehäuses 10a definiert drei funktionelle Streifenabschnitte, wobei der erste Streifenabschnitt 12a als Montagestreifen für eine seitliche Stirnfläche 2a des Festrahmens 2 vorgesehen und dazu ausgebildet ist, der zweite Funktionsstreifen 12b als Außenstreifen zwei räumlich beabstandete Strömungsöffnungen 7,9 aufweist und der dritte Funktionsstreifen 12c als Innenstreifen ausgebildet ist. Im dritten Funktionsstreifen 12c ist eine abnehmbare Platte 13 als Abdeckung einer Revisionsöffnung vorgesehen, um Zugriff auf zumindest die Lüfter 30a, 30b und einen Abschnitt des Wärmetauschers 20 zu geben.
id-WO2013168772A1    abstract-積層型全熱交換素子５０は、複数枚積層される積層板１１と、積層板の間に第１の流路１を形成する第１の間隔保持材２１と、積層板の間に第２の流路２を形成する第２の間隔保持材２２と、を備える積層型全熱交換素子であって、第１の流路は、積層型全熱交換素子の一方側から他方側に流体を通過可能に形成され、第２の流路は、積層型全熱交換素子の他方側から一方側に流体を通過可能に形成され、第１の流路に対して一方側に連通し、積層板の積層方向と略平行に延びる第３の流路３が形成され、第２の流路に対して他方側に連通し、積層板の積層方向と略平行に延びる第４の流路４が形成される。
id-WO2013180335A1    abstract-본 발명은 고효율 열교환장치 및 그 제조방법에 관한 것으로, 구획판(10)과 또 다른 구획판 사이에 구획판 상측과 우측모서리를 차단되게 엘패드(30)을 배치하고 엘패드의 상측과 좌우측에 형성된 브이(V)홈부와; 엘패드 하단에 밀착배치한 구획판(10)사이의 골판(20) 좌우테두리에 실란트(40)로 밀봉하여 형성된 제1흡입구(1A)와 그 내부 공간인 제1흡입실(1AR)이 형성되며, 제1흡입실 하측으로 골판의 각 길이방향으로 형성된 제1흡입실과 연통된 열교환유로(1AB)의 출구인 제1배출구(1B)와; 상기 제1흡입구(1A)와 제1흡입실(1AR), 제1배출구(1B)와 인접된 구획판과 또 다른 구획판 사이에는 구획판 하측과 좌측모서리가 차단되게 엘패드(30)을 배치하고 엘패드의 하측과 좌우측에 형성된 브이(V)홈부와; 엘패드 상단에 밀착배치한 구획판사이의 골판(20) 좌우테두리에 실란트(40)로 밀봉하여 형성된 제2흡입구(2A)와 그 내부공간인 제2흡입실(2AR)이 형성되며, 제2흡입실 상측으로 골판의 각 길이방향으로는 제2흡입실과 연통된 열교환유로(2AB)의 출구인 제2배출구(2B)가 골판 상단부에 형성된 셀단위 열교환소자(100)가 중첩형성된 열교환소자그룹(100M)에 각각 마련된 맞흐름방식의 전열교환유로(1AB;2AB)에 의해 동급의 전열교환장치에 비해 열교환 면적이 넓고 열에너지 회수율이 높은 고효율 열교환장치로 유용하게 적용되도록 한 발명인 것이다.
id-KR20130134742A    abstract-본 발명은 열 효율을 향상시킨 환기 시스템에 관한 것이다.  본 발명에 따른 환기 시스템은 실내와 실외를 연통시키는 배기 채널과, 실내와 실외를 연통시키되 상기 배기 채널과 독립된 흡기 채널을 갖는 본체 프레임과; 상기 배기 채널과 상기 흡기 채널 사이에서 열 교환이 발생하도록 상기 본체 프레임에 설치되는 열 교환 유닛과; 상기 배기 채널을 통해 실내의 공기를 실외로 배기시키는 배기 펌프와; 상기 흡기 채널을 통해 실외의 공기를 실내로 유입시키는 흡기 펌프를 포함하는 것을 특징으로 한다.  이에 따라, 실내로 유입되는 실외의 공기와 실외로 배출되는 실내의 공기가 열 교환 유닛에서 열 교환됨으로써, 따뜻한 실내의 공기가 실외로 배출될 때 실내로 유입되는 차가운 공기와 열 교환하거나, 차가운 실내의 공기가 외부로 배출될 때 실내로 유입되는 따뜻한 공기와 열 교환함으로써, 열 효율을 향상시킬 수 있다.
id-DE102013004647A1    abstract-Die Erfindung betrifft ein lufttechnisches Gerät (1) zur Be- und Entlüftung von mindestens einem Raum (2) eines Gebäudes (80) oder dergleichen, mit zwei Luftkanälen (8, 9), die jeweils eingangsseitig sowie ausgangsseitig je eine Kanalöffnung (12, 13, 14, 15) aufweisen und die jeweils zwischen den zugehörigen Kanalöffnungen (12, 13, 14, 15) durch nur eine nur eine einzige Luftförderrichtung aufweisende Luftfördereinrichtung (16) strömungstechnisch miteinander verbunden sind, und mit einer Verschlusseinrichtung (23), die in einer ersten Betriebsart zur Ausbildung eines über die Luftfördereinrichtung (16) führenden ersten Luftwegs die eine Kanalöffnung (12, 13, 14, 15) des einen, ersten Luftkanals (8, 9) mit der einen Kanalöffnung (12, 13, 14, 15) des anderen, zweiten Luftkanals (9, 8) strömungstechnisch verbindet, und die in einer zweiten Betriebsart zur Ausbildung eines über die Luftfördereinrichtung (16) führenden zweiten Luftwegs die andere Kanalöffnung (12, 13, 14, 15) des ersten Luftkanals (8, 9) mit der anderen Kanalöffnung (12, 13, 14, 15) des zweiten Luftkanals (9, 8) strömungstechnisch verbindet. Ferner betrifft die Erfindung ein Verfahren zum Be- und Entlüften von mindestens einem Raum (2) eines Gebäudes (80) oder dergleichen.
id-KR101226454B1    abstract-본 발명은 냉온풍을 이용하여 저장고내의 농수산물의 건조, 큐어링 및 저온저장용 다기능 냉동시스템에 관한 것으로, 특히 제1환기구 댐퍼(111)와 제2환기구 댐퍼(117)로 각각 제1환기구(110)와 제2환기구(116)를 차폐하여, 외기가 케이싱(101) 안으로 유입되지 않게 차단한 상태에서 배기입구 댐퍼(105), 배기출구 댐퍼(108) 및 급기출구 댐퍼(115)를 개방하여, 배기팬(F1)과 급기팬(F2)을 가동하면 저장고(10)의 고내 공기가 배기 덕트(104)와 현열 열교환기(119)의 제1공기통로(119a) 및 급기 덕트(113)를 순차적으로 통과하면서 저장고(10)로 순환하고, 배기 덕트(104)내에 설치된 냉각기(123)를 작동시켜 배기 덕트(104)를 통과하는 배기를 냉각시키고, 이 냉각된 공기가 저장고(10)의 내부로 순환하면서 저장고(10)의 저장 농수산물을 저온 저장 또는 냉풍 건조한다. 압축기(120)에서 토출된 고온고압의 냉매가스는 응축기(121)를 통하지 않고 곧바로 가열기(124)를 통과하면서, 가열기(124)가 설치된 급기 덕트(113)의 급기를 가열하여 저장고(10)내로 공급함으로써 저장고 내부의 농수산물을 열풍 건조하게 된다.
id-WO2013178409A1    abstract-Für die Belüftung, Beheizung und Kühlung eines Klimatisierungsobjekts sowie die Energiegewinnung aus Luft sind im Stand der Technik unterschiedliche Vorrichtungen notwendig. Es ist Aufgabe der Erfindung, möglichst viele dieser Funktionen durch eine einzige Vorrichtung realisieren zu können. Daher betrifft die Erfindung eine Wärmetauschereinrichtung mit einem ersten Wärmetauscher, der Luftdurchlassöffnungen aufweist und in einer Luftleitkammer angeordnet ist, die vier Öffnungen und eine Luftleiteinrichtung aufweist. Die Luftleiteinrichtung unterteilt die Luftleitkammer in einer ersten und zweiten Stellung in zwei Teilkammern, wobei die erste Öffnung und die zweite Öffnung in die erste Teilkammer sowie die dritte Öffnung und die vierte Öffnung in die zweite Teilkammer münden. In der ersten Stellung unterteilt der erste Wärmetauscher die zweite Teilkammer zudem in zwei Unterteilkammern, welche über die Luftdurchlassöffnungen strömungsverbunden sind. In der zweiten Stellung unterteilt der erste Wärmetauscher hingegen die erste Teilkammer in zwei Unterteilkammern, welche über die Luftdurchlassöffnungen strömungsverbunden sind.
id-WO2013181380A2    abstract-A low RPM permanent magnet generator mounted over the exhaust port of a HVAC condenser provides a direct drive generator that allows low cogging and low startup resistance to effectively produce electricity at low wind speeds.
id-DK2672190T3    abstract-
id-CN202734058U    abstract-一种带新风热回收的空调器室内机，包括设置在室内机中的制冷与制热装置和新风热回收装置，其中，新风热回收装置设置在室内机的下部，制冷与制热装置设置在室内机的上部；新风热回收装置包括热交换器芯体、带有排风电机的排风风轮、带有新风电机的新风风轮、第一过滤网、第二过滤网、室内机的下部设置有室外新风入口、新风空气出口、室内排风入风口和室内排风空气出口；其中，依次设置的室外新风入口、第一过滤网、空气净化器、热交换器芯体、加湿机构、除湿机构、新风风轮和新风空气出口组成新风通道。本实用新型具有集新风和热回收一体化、健康节能、不用单独安装和维护简单的特点。
id-WO2013181815A1    abstract-一种节能机柜空调器，其包括蒸汽压缩式制冷系统、热管式热交换系统及电气组件，蒸汽压缩式制冷系统包括压缩机、蒸发器及冷凝器，热管式热交换系统包括蒸发端及冷凝端，所述热管式热交换系统的蒸发端为平行流式换热结构、管带式换热结构或管片式换热结构之一，热管式热交换系统的冷凝端为平行流式换热结构、管带式换热结构或管片式换热结构之一，电气组件根据对需要降温的机柜密闭空间内外温度的检测判断选择运行所述蒸汽压缩式制冷系统和热管式热交换系统之一或者同时运行进行热量转移。
id-EP2674687A2    abstract-The present invention relates to building engineering and heating, plumbing, ventilation and electrical engineering and ventilation technology, and particularly to ventilation systems as well as heat recovery units for ventilation equipment. The ventilation equipment (6) according to the invention, which comprises a heat recovery unit, an outside air fitting (8), a supply air fitting, an extract air fitting (7) and an exhaust air fitting, is characterized in that the ventilation equipment (6) comprises a condensation element (11) arranged in connection with the extract air fitting (7), the condensation element (11) being hollow on the inside and appropriately arranged in an extract air chamber provided in connection with the extract air fitting (7) such that an outside air flow is supplied into the condensation element (11) from an outside air chamber provided in connection with the outside air fitting (8). Owing to the solution according to the invention, the heat recovery unit for ventilation equipment does not collect humidity and does not freeze.
id-DE202012005862U1    abstract-Kreislaufverbundsystem mit einem Verflüssiger (2) und einem Verdampfer (3), die zusammen eine Wärmepumpe (1) bilden, und mindestens einem Verbraucher (8), der über einen Vorlauf (21) und einen Rücklauf (22) mit der Wärmepumpe (1) verbunden ist, wobei der Vorlauf (21) in eine hydraulische Weiche (41) mündet und einen Bypass (43) aufweist, der in Fließrichtung vor der hydraulischen Weiche (41) von dem Vorlauf (21) abzweigt und hinter der hydraulischen Weiche (41) über ein 3-Wege-Ventil (42) in den Vorlauf (21) mündet, dadurch gekennzeichnet, dass der Rücklauf (22) des Verbrauchers (8) mit der hydraulischen Weiche (41) verbunden ist, wobei ein Bypass (45) angeordnet ist, der in Fließrichtung vor der hydraulischen Weiche (41) von dem Rücklauf (22) abzweigt und hinter der hydraulischen Weiche (41) über ein 3-Wege-Ventil (47) in den Rücklauf (22) mündet.
id-FI20125641A    abstract-
id-FI20125640A    abstract-
id-NL2008997C2    abstract-
id-WO2014017040A1    abstract-熱交換素子は、伝熱板（１６）に間隔保持部（１３ａ、１３ｂ）と複数の風路リブ（１３ｃ）とを設けて複数の排気風路を形成した排気ユニットと複数の給気風路を形成した給気ユニット（１３）とが積層されている。また排気流と給気流（５）とが、排気風路および給気風路（１５）の両端部（３０）において直交または斜交し、中央部（３１）において対向する。そして複数の給気風路（１５）のうち、排気流の入口側に最も近い給気風路（１５ｇ）を閉空間にする。
id-US20160194832A1    abstract-Provided is a multilayered structure comprising at least one fine cellulose fiber nonwoven fabric layer made of a fine cellulose fiber, wherein the multilayered structure is characterized in that the mean fiber diameter of the fine cellulose fiber forming the fine cellulose fiber non-woven fabric layer is 0.005 to 0.5 μm, and the mean thickness of the multilayered structure is 10 to 200 μm, the density thereof is 0.10 to 0.90 g/cm 3 , and the permeability resistance thereof is 2000 s/100 ml or more. Also provided are an energy recovery ventilation sheet made of this multilayered structure, an energy recovery ventilation element using this energy recovery ventilation sheet as a partitioning material for partitioning two types of air flow of different temperature and/or humidity, and a energy recovery ventilator using this energy recovery ventilation element.
id-KR101307385B1    abstract-본 발명은 결로 발생에 대한 안전제어 기능을 각 방별로 수행함과 동시에 복사시스템의 냉난방 능력을 최대로 발휘하기 위한 공급수의 최적온도 제어 및 제습공조장치와 더불어 배기장치를 통합적으로 연동 제어함으로써 갑작스러운 실내습도의 상승 등 여러 환경 위험변수에 신속히 대응하여 안정된 환경 조건을 만들기 위한 세부적 제어방법을 통하여 안정적이며 쾌적한 최적의 실내환경을 구현할 수 있는 복합 냉난방 공조장치의 종합 운전 제어방법을 제공함에 그 목적이 있다.  이를 구현하기 위한 본 발명은, 각 방의 실내온도와 상대습도를 측정하여 각 방별로 실내 노점(DP)을 계산하는 단계; 상기 각 방별 노점(DP) 중 최대값(DPmax)에서 각 방의 바닥 구조물(180)의 열전도율과 축열성의 차이에 따른 안전성을 고려한 안전율(ΔS)을 더하고, 상기 각 방의 바닥 구조물(180)의 두께에 따른 실험 계수값(CF)과 마감재(185)의 재질에 따른 실험 계수값(MF)을 고려한 보정값(K=CF+MF)을 감하여 복사시스템(100)으로부터 각 방의 바닥 구조물(180)로 공급되는 공급수의 공급수온(Tsupply=DPmax+ΔS-K)을 결정하는 단계; 및 각 방의 실내온도가 사용자가 설정한 설정온도에 도달할 때까지 상기 복사시스템(100)을 가동시켜 상기 공급수온(Tsupply)을 갖는 공급수를 상기 바닥 구조물(180)에 설치된 수배관(186)으로 순환 공급시켜 복사 냉난방을 수행하는 단계를 포함한다.
id-WO2014009688A3    abstract-A passive ventilation and/ or humidity control unit for an enclosure, the unit comprising: at least one extract circuit through which extract air can be drawn from said enclosure to an extract outlet; at least one supply circuit through which supply air can be drawn into the enclosure from a supply inlet to a supply outlet; and a roof mounting component, wherein the extract outlet is adapted to facilitate a Venturi effect on said extract circuit, and wherein the (or each) supply outlet is arranged relative to said roof mounting component to dispense a supply air stream proximal to a ceiling of the enclosure to create a Coanda effect with said ceiling of said enclosure.
id-DE102012013162A1    abstract-Durch eine neuartige Führung der Medienströme mittels einer entsprechende Ausgestaltung eines Faltwärmetauscher wird die Effektivität desselben gesteigert.
id-KR101227080B1    abstract-본 발명은 항온 항습 장치에 관한 것으로, 외부 공기를 가열하는 가열 모듈에 대해 별도의 에너지를 공급할 필요없이 냉매의 폐열을 이용한 방식으로 구성함으로써, 에너지 효율을 향상시킬 수 있고, 가열 모듈을 이루는 히팅 열교환기에 대해 히트 파이프를 이용하여 열교환 효율을 향상시킬 수 있으며, 냉각 모듈 및 가열 모듈을 형성하는 냉동 사이클의 냉매 순환 방식을 히트펌프 사이클의 냉매 순환 방식으로 선택적으로 작동시킬 수 있도록 함으로써, 날씨와 같은 환경 조건에 따라 더욱 에너지 효율적으로 작동시킬 수 있는 항온 항습 장치를 제공한다.
id-KR101334299B1    abstract-본 발명은 실내의 습도를 자동으로 제어하기 위한 환기시스템으로, 실내온도 및 실내습도와 실외의 외기온도를 측정하는 온습도센서; 상기 온습도센서에서 측정된 값이 입력되어 결로발생조건일 때를 계산하여 구동신호를 송신하는 콘트롤러; 및, 상기 콘트롤러에서 송신된 구동신호를 수신하여 구동되는 전열교환기;를 포함하여 구성되되, 상기 온습도센서는 외기온도를 측정하는 외기온도측정센서와 실내온도 및 실내습도를 측정하는 실내온습도측정센서로 구성되어,실내의 결로발생을 방지하는 것을 특징으로 하는 과습방지 자동 환기시스템을 제공한다. 더불어, 상기 콘트롤러는 포화수증기압( ) 및 노점온도( )를 2차 다항 근사식으로 계산하여 결로발생조건을 계산하는 것을 특징으로 하는 과습방지 자동 환기시스템을 제공한다.
id-KR101361582B1    abstract-본 발명은 히트펌프를 이용하는 에너지절감형 외기공조장치에 관한 것으로, 그 목적은 히트펌프를 이용하여 리히팅 코일과 칠러의 에너지 소비량을 줄임으로써 에너지절감을 실현할 수 있도록 하는 히트펌프를 이용하는 에너지절감형 외기공조장치를 제공함에 있다. 이를 위한 본 발명의 외기공조장치는 외기 중의 이물질을 여과하는 필터와, 외기를 가열하는 프리 히팅 코일과, 외기로 물을 분무하여 이물질을 여과하는 에어와셔와, 외기를 냉각하는 쿨링 코일과, 외기를 최종적으로 가열하는 리히팅 코일과, 클린룸의 냉방을 실시하는 드라이 쿨링 코일과, 상기 쿨링 코일과 드라이 쿨링 코일로 냉수를 제공하는 칠러를 포함하는 외기공조장치에 있어서, 상기 쿨링 코일에 인접하게 배치되어 외기를 냉각하는 보조 쿨링 코일; 상기 리히팅 코일에 인접하게 배치되어 외기를 가열하는 보조 히팅 코일; 및 상기 보조 쿨링 코일이나 드라이 쿨링 코일로 열매체를 공급하고, 보조 쿨링 코일이나 드라이 쿨링 코일에서 사용된 열매체를 제공받아 열매체의 열을 흡수하며, 흡수한 열을 보조 히팅 코일로 제공되는 열매체로 전달하는 히트펌프를 포함하는 것으로 구성된다.
id-AT513160A2    abstract-Die vorliegende Anmeldung offenbart ein Verteilergehäuse (43´´´) zum Einbau einer dezentralen Luftaustauschvorrichtung (1) in eine Au¬ßenwand eines Gebäudes. Das Verteilergehäuse (43´´´) weist einen Aufnahmebereich für die Luftaustauschvorrichtung (1), eine Frisch¬luft-Einlassöffnung und eine Abluft-Auslassöffnung, sowie eine Abluft-Ansaugöffnung und eine Frischluft-Ausblasöffnung auf, wobei die Abluft-Ansaugöffnung und die Zuluft-Ausblasöffnung an einer Seitenwand des Verteilergehäuses (43´´´) angebracht sind. Weiterhin weist das Verteilergehäuse (43´´´) eine Abdeckhaube (56) auf, wo¬bei an der Frischluft-Einlassöffnung und an der Abluft-Auslassöffnung mindestens eine Radialdichtung vorgesehen ist, und wobei an der Abluft-Ansaugöffnung und an der Zuluft-Ausblasöffnung mindestens eine Axialdichtung vorgesehen ist.
id-AT13643U1    abstract-Beim Belüften von Räumen mit Hilfe einer Vorrichtung, die einen Wärmetauscher (1) mit zwei Kanälen (2, 3) aufweist, wird aus einem Raum abgeführte Abluft durch einen Kanal (2 oder 3) des Wärmetauschers (1) geführt und gibt dabei Wärme an durch einen weiteren Kanal (2 oder 3) des Wärmetauschers (1) geführte Zuluft ab. Die Strömungsrichtungen im Wärmetauscher (1) werden periodisch geändert, um eine erhöhte Bildung von Kondensat bzw. das Einfrieren von Kondensat im Bereich des Wärmetauschers (1) zu verhindern. Vor jedem Ändern der Strömungsrichtung durch die Kanäle (2, 3) des Wärmetauschers (1) wird der Kanal (2 oder 3) des Wärmetauschers (1), durch den Abluft geströmt ist, mit Zuluft gespült. Das Spülen wird eine vorwählbare Zeit lang oder so lange fortgesetzt, bis die Schadstoffbelastung in der aus dem Kanal (2 oder 3) des Wärmetauschers (1) verdrängten Abluft unter einem vorgegebenen Wert liegt.
